,aac,bwt,fwt,afm,n_tasks,dataset,algo,datetime,dataset_name,agent_name,lr,batch_size,hidden_dim,nepoch,reg_coef,subset_size
55,61.53000000000001,-15.978947368421053,-1.105263157894737,16.757894736842108,20,gs_split-cifar100,EWC,2020-11-22-04-41-0,gs_split-cifar100,EWC,0.1,32,100,50,1.0,
61,60.94,-11.25263157894737,0.23157894736842097,15.494736842105265,20,gs_split-cifar100,EWC,2020-11-22-04-41-0,gs_split-cifar100,EWC,0.1,64,100,50,1.0,
47,57.80999999999999,-20.947368421052634,0.46315789473684205,21.15789473684211,20,gs_split-cifar100,EWC,2020-11-22-04-41-0,gs_split-cifar100,EWC,0.01,256,100,50,1.0,
19,57.480000000000004,-18.452631578947365,1.389473684210526,18.57894736842105,20,gs_split-cifar100,EWC,2020-11-22-04-41-0,gs_split-cifar100,EWC,0.001,32,100,50,10.0,
37,57.44000000000001,-23.30526315789474,0.5894736842105264,24.68421052631579,20,gs_split-cifar100,EWC,2020-11-22-04-41-0,gs_split-cifar100,EWC,0.01,32,100,50,1.0,
41,56.23,-18.115789473684213,0.1578947368421047,21.915789473684214,20,gs_split-cifar100,EWC,2020-11-22-04-41-0,gs_split-cifar100,EWC,0.01,64,100,50,0.1,
49,55.83,-26.252631578947373,0.44210526315789467,26.252631578947373,20,gs_split-cifar100,EWC,2020-11-22-04-41-0,gs_split-cifar100,EWC,0.01,256,100,50,0.1,
26,55.529999999999994,-18.76842105263158,1.7157894736842099,18.8,20,gs_split-cifar100,EWC,2020-11-22-04-41-0,gs_split-cifar100,EWC,0.001,64,100,50,10.0,
54,54.80999999999999,-27.41052631578948,0.24210526315789463,27.41052631578948,20,gs_split-cifar100,EWC,2020-11-22-04-41-0,gs_split-cifar100,EWC,0.1,32,100,50,0.1,
60,54.669999999999995,-13.631578947368421,-0.10526315789473703,19.852631578947364,20,gs_split-cifar100,EWC,2020-11-22-04-41-0,gs_split-cifar100,EWC,0.1,64,100,50,0.1,
67,54.45,-29.084210526315786,0.5894736842105258,29.084210526315786,20,gs_split-cifar100,EWC,2020-11-22-04-41-0,gs_split-cifar100,EWC,0.1,256,100,50,1.0,
25,53.74000000000001,-20.221052631578942,1.4842105263157892,20.86315789473684,20,gs_split-cifar100,EWC,2020-11-22-04-41-0,gs_split-cifar100,EWC,0.001,64,100,50,1.0,
24,53.69,-21.031578947368423,1.4105263157894736,22.157894736842106,20,gs_split-cifar100,EWC,2020-11-22-04-41-0,gs_split-cifar100,EWC,0.001,64,100,50,0.1,
21,52.19000000000001,-24.978947368421053,0.9368421052631577,25.178947368421053,20,gs_split-cifar100,EWC,2020-11-22-04-41-0,gs_split-cifar100,EWC,0.001,32,100,50,1.0,
31,51.46,-19.747368421052634,0.8421052631578947,19.810526315789474,20,gs_split-cifar100,EWC,2020-11-22-04-41-0,gs_split-cifar100,EWC,0.001,256,100,50,1.0,
65,51.160000000000004,-33.8421052631579,0.568421052631579,33.8421052631579,20,gs_split-cifar100,EWC,2020-11-22-04-41-0,gs_split-cifar100,EWC,0.1,256,100,50,0.1,
40,48.879999999999995,-32.8421052631579,0.16842105263157853,33.25263157894737,20,gs_split-cifar100,EWC,2020-11-22-04-41-0,gs_split-cifar100,EWC,0.01,32,100,50,0.1,
30,48.699999999999996,-23.589473684210525,1.2315789473684209,23.599999999999998,20,gs_split-cifar100,EWC,2020-11-22-04-41-0,gs_split-cifar100,EWC,0.001,256,100,50,0.1,
32,48.260000000000005,-20.56842105263158,1.0631578947368419,20.56842105263158,20,gs_split-cifar100,EWC,2020-11-22-04-41-0,gs_split-cifar100,EWC,0.001,256,100,50,10.0,
22,43.1,-37.55789473684211,1.5052631578947369,37.55789473684211,20,gs_split-cifar100,EWC,2020-11-22-04-41-0,gs_split-cifar100,EWC,0.001,32,100,50,0.1,
36,41.93000000000001,-27.72631578947368,-0.03157894736842113,32.3578947368421,20,gs_split-cifar100,EWC,2020-11-22-04-41-0,gs_split-cifar100,EWC,0.01,32,100,50,10.0,
11,31.630000000000003,-10.873684210526317,-0.2421052631578949,11.326315789473684,20,gs_split-cifar100,EWC,2020-11-22-04-41-0,gs_split-cifar100,EWC,1e-05,32,100,50,0.1,
16,31.550000000000004,-10.926315789473685,-0.25263157894736815,11.347368421052632,20,gs_split-cifar100,EWC,2020-11-22-04-41-0,gs_split-cifar100,EWC,1e-05,32,100,50,1.0,
2,30.410000000000004,-12.000000000000004,-0.11578947368421068,12.052631578947372,20,gs_split-cifar100,EWC,2020-11-22-04-41-0,gs_split-cifar100,EWC,1e-05,32,100,50,10.0,
