,aac,bwt,fwt,afm,n_tasks,dataset,algo,datetime,dataset_name,agent_name,lr,batch_size,hiddens,epochs_per_task,gamma,dropout
127,58.839970683815736,-6.065208582613375,1.0356358784463247,6.103130463538668,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,10,256,75,0.6000000000000001,0.4
113,58.63416655133259,-6.317559578785325,0.49123735161826254,6.317559578785325,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,10,256,75,0.6000000000000001,0.30000000000000004
100,58.45704689626283,-8.503629715124706,1.0736281871894795,8.541551596049999,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,10,256,75,0.6000000000000001,0.2
17,57.838323187572996,-4.756742718862553,1.4153837885478415,4.9509511324595055,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,10,256,75,0.5,0.5
11,57.797720745162245,-8.874634520366035,0.9713445141880208,8.874634520366035,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,10,256,75,0.5,0.1
191,57.65755630616958,-10.74707957775509,0.9988101556959614,10.74707957775509,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,64,256,75,0.7000000000000001,0.4
235,57.56474024130292,-12.10818827928973,1.1744872454574333,12.10818827928973,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.001,10,256,75,0.8,0.5
231,57.37771203568418,-12.04802228419424,0.430262073729171,12.04802228419424,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.001,10,256,75,0.8,0.2
112,57.34788726969045,-6.139242802004197,1.4375964833119075,6.139242802004197,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,10,256,75,0.6000000000000001,0.5
64,57.29578433775315,-5.943786232842454,0.5343168007643089,5.943786232842454,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,10,256,75,0.5,0.4
187,57.22016477002819,-10.84361303876035,0.4339516963487725,10.84361303876035,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,64,256,75,0.7000000000000001,0.5
181,57.02821008388874,-9.363993127176988,0.7417242783880083,9.363993127176988,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,10,256,75,0.7000000000000001,0.2
236,56.93196752337805,-12.937597273732345,0.43127874212708806,12.937597273732345,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.001,10,256,75,0.8,0.4
164,56.90530931456217,-11.690509259840645,0.7017020118216318,11.690509259840645,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.001,10,256,75,0.7000000000000001,0.5
224,56.854561648849156,-13.109685082517693,0.49101565644688744,13.109685082517693,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.001,10,256,75,0.8,0.30000000000000004
256,56.684720943075625,-13.204821888522194,1.2455855156308653,13.204821888522194,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,64,256,75,0.8,0.4
146,56.52201654087412,-12.52923710218799,-0.0037599249885464678,12.52923710218799,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.001,10,256,75,0.7000000000000001,0.2
147,56.38795232842544,-12.662504144707425,0.3644761109718997,12.662504144707425,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.001,10,256,75,0.7000000000000001,0.30000000000000004
77,56.350533828441584,-9.445824709014156,1.1295259385976124,9.445824709014156,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,10,256,75,0.5,0.2
140,56.31955995421998,-7.806495443152986,0.3999371053330358,7.806495443152986,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.1,64,256,75,0.6000000000000001,0.2
80,56.26889344963413,-12.113683879758083,0.12814773463970525,12.113683879758083,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.001,10,256,75,0.6000000000000001,0.2
177,56.23274796305071,-9.687449043337814,1.841343843801199,9.687449043337814,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,10,256,75,0.7000000000000001,0.30000000000000004
179,56.124519333832815,-12.419185139310331,0.844302159232822,12.419185139310331,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,64,256,75,0.7000000000000001,0.30000000000000004
162,56.04145959596658,-12.51936170076345,0.8352238998863439,12.51936170076345,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.001,10,256,75,0.7000000000000001,0.4
89,55.96826730321707,-11.668204316332911,0.8752591448486976,11.668204316332911,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.001,10,256,75,0.6000000000000001,0.5
264,55.96313284488336,-14.618929478517767,0.2506767247926275,14.618929478517767,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,64,256,75,0.8,0.5
182,55.902103022737926,-12.7788616986114,0.4876543015064853,12.7788616986114,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,64,256,75,0.7000000000000001,0.2
82,55.89718605196489,-12.483771161521167,0.24697403721827335,12.483771161521167,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.001,10,256,75,0.6000000000000001,0.30000000000000004
25,55.8280972165703,-11.837179035298947,0.7535199063552762,11.837179035298947,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.001,10,256,75,0.5,0.5
86,55.741178720598285,-12.434286240741077,0.6913177104419768,12.434286240741077,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.001,10,256,75,0.6000000000000001,0.4
268,55.733454123553805,-14.459945164634648,1.0155906447854433,14.459945164634648,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,64,256,75,0.8,0.30000000000000004
7,55.64531663850761,-3.8693352217120083,0.7824038363525945,4.097578104334483,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.1,64,256,75,0.5,0.30000000000000004
157,55.49755105792332,-14.368361119442275,0.5663053945718018,14.368361119442275,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.001,10,256,75,0.7000000000000001,0.1
250,55.46393151875607,-14.042256196893113,0.9410654590521133,14.042256196893113,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,64,256,75,0.8,0.2
312,55.46135924636377,-15.18977640229126,1.298624256859117,15.18977640229126,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.001,10,256,75,0.9,0.5
305,55.46135338754351,-14.834890222687838,0.657722389654221,14.834890222687838,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.001,10,256,75,0.9,0.4
174,55.451633193331986,-13.159341177937636,0.115379057224478,13.159341177937636,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,64,256,75,0.7000000000000001,0.1
117,55.294635190925625,-12.243091930805807,1.566601765121251,12.243091930805807,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,10,256,75,0.6000000000000001,0.1
12,55.25332010251996,-5.776413454506065,1.0619708447942904,6.010644719019893,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.1,64,256,75,0.5,0.2
301,55.20376197349098,-15.479699282073783,0.790546849567476,15.479699282073783,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.001,10,256,75,0.9,0.30000000000000004
310,55.00523573354661,-13.331097478368841,0.2786952397571929,13.331097478368841,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.001,64,256,75,0.9,0.5
22,54.988769518310036,-12.97299451658441,0.8845862559160697,12.97299451658441,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.001,10,256,75,0.5,0.4
56,54.911470552741875,-13.20686171629334,0.22921476383999273,13.20686171629334,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.001,10,256,75,0.5,0.30000000000000004
111,54.7004556625544,-9.701837522607674,0.8656290996893473,9.701837522607674,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.1,64,256,75,0.6000000000000001,0.30000000000000004
303,54.61251158641066,-14.91171411732437,0.5443215456818524,14.91171411732437,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.001,64,256,75,0.9,0.30000000000000004
39,54.573751474756364,-14.244667861193445,0.2969929956938955,14.244667861193445,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.001,10,256,75,0.5,0.2
135,54.56477521532578,-8.869191969340783,0.7231717769787833,8.869191969340783,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.1,64,256,75,0.6000000000000001,0.4
299,54.563158382806364,-14.486706939964588,0.6400373484358783,14.486706939964588,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.001,64,256,75,0.9,0.4
18,54.46542206559521,-14.596654400689548,0.6216243400752544,14.596654400689548,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.001,10,256,75,0.6000000000000001,0.1
185,54.430323174466515,-10.672016600871697,0.914990512427804,10.672016600871697,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,10,256,75,0.7000000000000001,0.4
49,54.289964859160044,-5.812266680204487,0.6502711095628455,5.887729954955489,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.1,64,256,75,0.5,0.4
102,54.112382144464846,-8.112422529954832,0.0515144575997843,8.168163890044017,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,64,256,75,0.6000000000000001,0.30000000000000004
296,54.0998245736978,-16.060912519556737,0.45101930250513994,16.060912519556737,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.001,10,256,75,0.9,0.2
58,54.095942763576,-5.6054949697971885,-0.19466373754290567,5.667605856322402,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.1,64,256,75,0.5,0.5
220,53.825431091955224,-16.700765941723525,1.1875235706611802,16.700765941723525,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.001,10,256,75,0.8,0.1
106,53.821917526546166,-8.241378219692207,0.35768596985870976,8.241378219692207,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,64,256,75,0.6000000000000001,0.4
377,53.81394008932559,-16.96233799224559,0.5633406163394895,16.96233799224559,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.001,64,256,75,1.0,0.4
180,53.80390486099928,-9.254839387727113,1.508259915006143,9.313732202803672,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,10,256,10,0.7000000000000001,0.30000000000000004
120,53.77061836906897,-11.494417223516498,1.3040305245233066,11.494417223516498,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.1,64,256,75,0.6000000000000001,0.1
248,53.725020156827874,-16.107925589137032,0.7878585549756054,16.107925589137032,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,64,256,75,0.8,0.1
69,53.71910017844711,-9.535042577263438,0.21715894237740527,9.535042577263438,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.1,64,256,75,0.5,0.1
379,53.642308668961356,-17.126549369216992,0.24204037850411197,17.126549369216992,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.001,64,256,75,1.0,0.5
329,53.626006796674005,-16.32404531930511,1.571668747680364,16.32404531930511,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,64,256,75,0.9,0.4
334,53.45562330322057,-17.382791122796814,0.9725196133557922,17.382791122796814,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,64,256,75,0.9,0.5
42,53.4390643072774,-13.95518220579042,0.5389011704259229,13.95518220579042,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,10,256,75,0.5,0.0
326,53.41312708474169,-17.21788872322834,1.1120934159799658,17.21788872322834,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,64,256,75,0.9,0.30000000000000004
131,53.37025969295807,-9.700957381975151,-0.03716636111525576,9.700957381975151,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,64,256,75,0.6000000000000001,0.2
300,53.1962440407156,-16.554134901032,0.806851525683445,16.554134901032,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.001,64,256,75,0.9,0.2
374,53.168485133698276,-17.42816324149167,0.5264285758108924,17.42816324149167,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.001,64,256,75,1.0,0.30000000000000004
45,52.9706675939143,-16.368926645539418,0.37889675760387853,16.368926645539418,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.001,10,256,75,0.5,0.1
130,52.84759419001099,-11.520109334768803,0.17092567671646805,11.520109334768803,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,64,256,75,0.6000000000000001,0.1
171,52.64325450452975,-13.634514482750477,1.4456814949007948,13.634514482750477,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,10,256,75,0.7000000000000001,0.1
291,52.635996009796735,-18.06837215267344,1.3038693998386388,18.06837215267344,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.001,10,256,75,0.9,0.1
184,52.53420076956297,-11.645373105832778,1.6921767150657685,11.645373105832778,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,10,256,75,0.7000000000000001,0.5
108,52.42271387166828,-8.817164181273204,0.2806535568313182,8.817164181273204,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,64,256,75,0.6000000000000001,0.5
297,52.38631468207967,-17.444994292206243,0.7308501231328746,17.444994292206243,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.001,64,256,75,0.9,0.1
188,52.35830931246045,-8.34171444921261,0.5106494246448161,8.34171444921261,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,10,256,10,0.7000000000000001,0.5
371,52.30596926603533,-18.348906504778167,0.8664940812040217,18.348906504778167,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.001,64,256,75,1.0,0.2
175,52.30259614017565,-11.014512322457655,1.6197729328591757,11.014512322457655,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,10,256,10,0.7000000000000001,0.2
